pattern,prediction
"(0, 0, 0)",100
"(0, 0, 1)",15
"(0, 0, 2)",2
"(0, 0, 3)",20
"(0, 0, 4)",67
"(0, 0, 5)",26
"(0, 0, 6)",149
"(0, 0, 7)",77
"(0, 0, 8)",0
"(0, 0, 9)",162
"(0, 0, 11)",254
"(0, 0, 10)",47
"(0, 0, 12)",77
"(0, 1, 1)",136
"(0, 1, 2)",5
"(0, 1, 3)",3
"(0, 1, 4)",8
"(0, 1, 5)",1
"(0, 1, 6)",29
"(0, 1, 7)",17
"(0, 1, 8)",0
"(0, 1, 9)",20
"(0, 1, 11)",11
"(0, 1, 10)",7
"(0, 1, 12)",7
"(0, 2, 2)",11
"(0, 2, 3)",8
"(0, 2, 4)",4
"(0, 2, 5)",1
"(0, 2, 6)",3
"(0, 2, 7)",4
"(0, 2, 8)",0
"(0, 2, 9)",9
"(0, 2, 11)",16
"(0, 2, 10)",0
"(0, 2, 12)",2
"(0, 3, 3)",69
"(0, 3, 4)",10
"(0, 3, 5)",4
"(0, 3, 6)",18
"(0, 3, 7)",15
"(0, 3, 8)",0
"(0, 3, 9)",12
"(0, 3, 11)",40
"(0, 3, 10)",6
"(0, 3, 12)",4
"(0, 4, 4)",396
"(0, 4, 5)",9
"(0, 4, 6)",108
"(0, 4, 7)",107
"(0, 4, 8)",0
"(0, 4, 9)",124
"(0, 4, 11)",294
"(0, 4, 10)",27
"(0, 4, 12)",36
"(0, 5, 5)",120
"(0, 5, 6)",18
"(0, 5, 7)",18
"(0, 5, 8)",0
"(0, 5, 9)",35
"(0, 5, 11)",30
"(0, 5, 10)",7
"(0, 5, 12)",5
"(0, 6, 6)",80
"(0, 6, 7)",77
"(0, 6, 8)",0
"(0, 6, 9)",191
"(0, 6, 11)",209
"(0, 6, 10)",46
"(0, 6, 12)",87
"(0, 7, 7)",30
"(0, 7, 8)",0
"(0, 7, 9)",72
"(0, 7, 11)",120
"(0, 7, 10)",28
"(0, 7, 12)",24
"(0, 8, 8)",0
"(0, 8, 9)",0
"(0, 8, 11)",0
"(0, 8, 10)",0
"(0, 8, 12)",0
"(0, 9, 9)",155
"(0, 9, 11)",268
"(0, 9, 10)",84
"(0, 9, 12)",79
"(0, 11, 11)",542
"(0, 11, 12)",80
"(0, 10, 11)",85
"(0, 10, 10)",13
"(0, 10, 12)",22
"(0, 12, 12)",58
"(1, 1, 1)",1108
"(1, 1, 2)",39
"(1, 1, 3)",26
"(1, 1, 4)",34
"(1, 1, 5)",3
"(1, 1, 6)",78
"(1, 1, 7)",103
"(1, 1, 8)",0
"(1, 1, 9)",73
"(1, 1, 11)",21
"(1, 1, 10)",6
"(1, 1, 12)",29
"(1, 2, 2)",24
"(1, 2, 3)",1
"(1, 2, 4)",0
"(1, 2, 5)",0
"(1, 2, 6)",5
"(1, 2, 7)",0
"(1, 2, 8)",0
"(1, 2, 9)",7
"(1, 2, 11)",6
"(1, 2, 10)",1
"(1, 2, 12)",1
"(1, 3, 3)",0
"(1, 3, 4)",0
"(1, 3, 5)",0
"(1, 3, 6)",2
"(1, 3, 7)",6
"(1, 3, 8)",0
"(1, 3, 9)",0
"(1, 3, 11)",1
"(1, 3, 10)",0
"(1, 3, 12)",1
"(1, 4, 4)",1
"(1, 4, 5)",0
"(1, 4, 6)",2
"(1, 4, 7)",3
"(1, 4, 8)",0
"(1, 4, 9)",3
"(1, 4, 11)",2
"(1, 4, 10)",1
"(1, 4, 12)",3
"(1, 5, 5)",2
"(1, 5, 6)",1
"(1, 5, 7)",1
"(1, 5, 8)",0
"(1, 5, 9)",0
"(1, 5, 11)",2
"(1, 5, 10)",1
"(1, 5, 12)",0
"(1, 6, 6)",12
"(1, 6, 7)",12
"(1, 6, 8)",0
"(1, 6, 9)",26
"(1, 6, 11)",4
"(1, 6, 10)",3
"(1, 6, 12)",6
"(1, 7, 7)",7
"(1, 7, 8)",0
"(1, 7, 9)",8
"(1, 7, 11)",6
"(1, 7, 10)",3
"(1, 7, 12)",0
"(1, 8, 8)",0
"(1, 8, 9)",0
"(1, 8, 11)",0
"(1, 8, 10)",0
"(1, 8, 12)",0
"(1, 9, 9)",4
"(1, 9, 11)",4
"(1, 9, 10)",6
"(1, 9, 12)",6
"(1, 11, 11)",1
"(1, 11, 12)",0
"(1, 10, 11)",0
"(1, 10, 10)",0
"(1, 10, 12)",4
"(1, 12, 12)",1
"(2, 2, 2)",60
