"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","33/72","490/18903",2.08939122950695e-33,5.15122061477644e-30,2.38275657838689e-30,"IGF1/IL7/IL10/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/CDH1/EFNA5/EFNB1/EFNB2/ICOSLG/ITGB2/HLA-A/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/JAG1/CCR2/CD27/CD44/CD74/ICOS/KLRK1/CD4/NOTCH1",33
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","28/72","275/18903",3.83989609748523e-33,5.15122061477644e-30,2.38275657838689e-30,"IGF1/IL7/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/EFNB1/EFNB2/ICOSLG/ITGB2/HLA-A/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CCR2/CD27/CD44/CD74/ICOS/KLRK1/CD4",28
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","29/72","322/18903",8.51143713155069e-33,7.61206194131683e-30,3.52104715020992e-30,"IGF1/IL7/IL10/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/EFNB1/EFNB2/ICOSLG/ITGB2/HLA-A/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CCR2/CD27/CD44/CD74/ICOS/KLRK1/CD4",29
"GO:0045785","GO:0045785","positive regulation of cell adhesion","32/72","484/18903",4.66797618258114e-32,3.1310450244663e-29,1.44830103138504e-29,"TGFB2/IGF1/IL7/IL10/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/FN1/EFNB1/EFNB2/ICOSLG/ITGB2/HLA-A/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CCR2/CD27/CD44/CD36/CD74/ICOS/KLRK1/CD4",32
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","31/72","450/18903",1.54423016414281e-31,8.28633906079034e-29,3.83294181794606e-29,"IGF1/IL7/IL10/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/THBS1/EFNB1/EFNB2/ICOSLG/ITGB2/HLA-A/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CCR2/CD27/TNFRSF4/CD74/CD40/ICOS/KLRK1/CD4",31
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","30/72","414/18903",4.06643994765305e-31,1.81837639659219e-28,8.41110999698763e-29,"IGF1/IL7/IL10/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/EFNB1/EFNB2/ICAM1/ICOSLG/ITGB2/HLA-A/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CCR2/CD27/CD44/CD74/ICOS/KLRK1/CD4",30
"GO:0050867","GO:0050867","positive regulation of cell activation","31/72","467/18903",4.88829632518217e-31,1.87361414863768e-28,8.66661859757861e-29,"IGF1/IL7/IL10/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/THBS1/EFNB1/EFNB2/ICOSLG/ITGB2/HLA-A/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CCR2/CD27/TNFRSF4/CD74/CD40/ICOS/KLRK1/CD4",31
"GO:0050870","GO:0050870","positive regulation of T cell activation","26/72","251/18903",6.86722455394547e-31,2.30309543477946e-28,1.0653233880397e-28,"IGF1/IL7/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/EFNB1/EFNB2/ICOSLG/HLA-A/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CCR2/CD27/CD74/ICOS/KLRK1/CD4",26
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","29/72","377/18903",8.85378475483398e-31,2.63941161080217e-28,1.22089031882448e-28,"IGF1/IL7/IL10/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/EFNB1/EFNB2/ICOSLG/ITGB2/HLA-A/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CCR2/CD27/CD44/CD74/ICOS/KLRK1/CD4",29
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","29/72","400/18903",4.99851064882454e-30,1.34110040707962e-27,6.20341479469909e-28,"IGF1/IL7/IL10/IL1A/IL1B/CD70/TNFSF4/CD40LG/KITLG/LGALS9/EFNB1/EFNB2/ICOSLG/HLA-A/HLA-E/HLA-DPA1/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/CCR2/CD27/TNFRSF4/CD74/CD40/ICOS/KLRK1/CD4",29
