"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"CAF","Malignant","TGFB2","ACVR1B_TGFbR2",1.32768403821682e-06,0.03,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Malignant","Malignant","TGFB2","ACVR1B_TGFbR2",1.65277292040101e-05,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Malignant","Malignant","WNT11","FZD4",3.05720801719212e-05,0,"WNT11_FZD4","WNT11 - FZD4","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Malignant","Malignant","WNT11","FZD7",3.05720801719212e-05,0,"WNT11_FZD7","WNT11 - FZD7","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Malignant","Malignant","WNT11","FZD8",3.56672451302618e-05,0,"WNT11_FZD8","WNT11 - FZD8","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Malignant","Malignant","EGF","EGFR",1.78055431199381e-05,0,"EGF_EGFR","EGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Malignant","Malignant","EGF","EGFR_ERBB2",1.50484720158995e-05,0,"EGF_EGFR_ERBB2","EGF - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"Malignant","Malignant","IGF1","ITGA6_ITGB4",4.85055392892798e-05,0,"IGF1_ITGA6_ITGB4","IGF1 - (ITGA6+ITGB4)","IGF","Secreted Signaling","PMID: 28190785; PMID: 28873464"
"Malignant","Malignant","CCL7","CCR2",1.27183097875025e-05,0,"CCL7_CCR2","CCL7 - CCR2","CCL","Secreted Signaling","KEGG: hsa04060"
"Malignant","Malignant","IL7","IL7R_IL2RG",1.39321934156106e-05,0,"IL7_IL7R_IL2RG","IL7 - (IL7R+IL2RG)","IL2","Secreted Signaling","KEGG: hsa04060"
"Malignant","Malignant","IL12AB","IL12RB1_IL12RB2",1.16565358393759e-05,0,"IL12B_IL12RB1_IL12RB2","IL12B - (IL12RB1+IL12RB2)","IL12","Secreted Signaling","PMID: 26918147"
"Malignant","Malignant","IL10","IL10RA_IL10RB",2.4628607658174e-05,0,"IL10_IL10RA_IL10RB","IL10 - (IL10RA+IL10RB)","IL10","Secreted Signaling","KEGG: hsa04060"
"Malignant","Malignant","IL1A","IL1R1_IL1RAP",2.26065256611023e-05,0,"IL1A_IL1R1_IL1RAP","IL1A - (IL1R1+IL1RAP)","IL1","Secreted Signaling","KEGG: hsa04060"
"Malignant","Malignant","IL1B","IL1R1_IL1RAP",1.6954990681473e-05,0,"IL1B_IL1R1_IL1RAP","IL1B - (IL1R1+IL1RAP)","IL1","Secreted Signaling","KEGG: hsa04060"
"Malignant","Malignant","IL1A","IL1R2",1.01746737109324e-05,0.02,"IL1A_IL1R2","IL1A - IL1R2","IL1","Secreted Signaling","KEGG: hsa04060"
"Malignant","Malignant","IL1B","IL1R2",7.63102469399591e-06,0,"IL1B_IL1R2","IL1B - IL1R2","IL1","Secreted Signaling","KEGG: hsa04060"
"Malignant","Malignant","IL17B","IL17RB",1.14464933667571e-05,0,"IL17B_IL17RB","IL17B - IL17RB","IL17","Secreted Signaling","KEGG: hsa04060"
"Malignant","Malignant","CD70","CD27",2.67080769039997e-05,0,"CD70_CD27","CD70 - CD27","CD70","Secreted Signaling","KEGG: hsa04060"
"Malignant","Malignant","TNFSF4","TNFRSF4",5.08736273659416e-06,0,"TNFSF4_TNFRSF4","TNFSF4 - TNFRSF4","OX40","Secreted Signaling","KEGG: hsa04060"
"Malignant","CAF","CD40LG","ITGA5_ITGB1",2.39833459645622e-06,0.04,"CD40LG_ITGA5_ITGB1","CD40LG - (ITGA5+ITGB1)","CD40","Secreted Signaling","PMID: 28676852"
"Malignant","Malignant","CD40LG","ITGAM_ITGB2",5.68784103716741e-06,0,"CD40LG_ITGAM_ITGB2","CD40LG - (ITGAM+ITGB2)","CD40","Secreted Signaling","PMID: 28676852"
"Malignant","Malignant","SPP1","CD44",0.000279728104282637,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"Malignant","Malignant","SPP1","ITGAV_ITGB5",8.24183228231553e-05,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"Malignant","Malignant","SPP1","ITGAV_ITGB6",0.000125890594223672,0,"SPP1_ITGAV_ITGB6","SPP1 - (ITGAV+ITGB6)","SPP1","Secreted Signaling","PMID: 21907263"
"Malignant","CAF","SPP1","ITGA5_ITGB1",2.39828282949408e-05,0.02,"SPP1_ITGA5_ITGB1","SPP1 - (ITGA5+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Malignant","Malignant","KITLG","KIT",1.01746737109324e-05,0,"KITL_KIT","KITL - KIT","KIT","Secreted Signaling","KEGG: hsa04080"
"Malignant","Malignant","LGALS9","CD44",8.39348665435622e-05,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"CAF","Malignant","FN1","ITGAV_ITGB6",0.000450901400796426,0,"FN1_ITGAV_ITGB6","FN1 - (ITGAV+ITGB6)","FN1","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","FN1","ITGAV_ITGB8",0.000742647264523303,0,"FN1_ITGAV_ITGB8","FN1 - (ITGAV+ITGB8)","FN1","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL1A1","ITGAV_ITGB8",0.00533029310440565,0,"COL1A1_ITGAV_ITGB8","COL1A1 - (ITGAV+ITGB8)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL1A2","ITGAV_ITGB8",0.00127940175948188,0,"COL1A2_ITGAV_ITGB8","COL1A2 - (ITGAV+ITGB8)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL4A2","ITGAV_ITGB8",0.000469168745393537,0,"COL4A2_ITGAV_ITGB8","COL4A2 - (ITGAV+ITGB8)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL6A1","ITGAV_ITGB8",5.86701786115219e-05,0.03,"COL6A1_ITGAV_ITGB8","COL6A1 - (ITGAV+ITGB8)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Malignant","Malignant","COL6A1","ITGAV_ITGB8",0.000414691946138238,0,"COL6A1_ITGAV_ITGB8","COL6A1 - (ITGAV+ITGB8)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL6A3","ITGAV_ITGB8",0.000244413668201708,0,"COL6A3_ITGAV_ITGB8","COL6A3 - (ITGAV+ITGB8)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL9A2","ITGAV_ITGB8",8.80026863506197e-05,0,"COL9A2_ITGAV_ITGB8","COL9A2 - (ITGAV+ITGB8)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
