pattern,Number of occurrences
"('CAF', 'CAF', 'CAF')",336
"('CAF', 'CAF', 'Macrophage')",56
"('CAF', 'CAF', 'Malignant')",34
"('CAF', 'CAF', 'Plasma')",54
"('CAF', 'Macrophage', 'Macrophage')",26
"('CAF', 'Macrophage', 'Plasma')",14
"('CAF', 'Malignant', 'Macrophage')",16
"('CAF', 'Malignant', 'Malignant')",52
"('CAF', 'Malignant', 'Plasma')",4
"('CAF', 'Plasma', 'Plasma')",32
"('Macrophage', 'Macrophage', 'Macrophage')",12
"('Macrophage', 'Macrophage', 'Plasma')",14
"('Macrophage', 'Plasma', 'Plasma')",20
"('Malignant', 'Macrophage', 'Macrophage')",10
"('Malignant', 'Macrophage', 'Plasma')",6
"('Malignant', 'Malignant', 'Macrophage')",36
"('Malignant', 'Malignant', 'Malignant')",372
"('Malignant', 'Malignant', 'Plasma')",16
"('Malignant', 'Plasma', 'Plasma')",10
"('Plasma', 'Plasma', 'Plasma')",48
