pattern,Number of occurrences
"('CAF', 'CAF', 'CAF')",930
"('CAF', 'CAF', 'Malignant')",188
"('CAF', 'CAF', 'Macrophage')",380
"('CAF', 'CAF', 'Plasma')",214
"('CAF', 'CAF', 'Endothelial')",120
"('CAF', 'Malignant', 'Malignant')",278
"('CAF', 'Malignant', 'Macrophage')",101
"('CAF', 'Malignant', 'Plasma')",18
"('CAF', 'Malignant', 'Endothelial')",19
"('CAF', 'Macrophage', 'Macrophage')",238
"('CAF', 'Macrophage', 'Plasma')",94
"('CAF', 'Macrophage', 'Endothelial')",50
"('CAF', 'Plasma', 'Plasma')",140
"('CAF', 'Plasma', 'Endothelial')",26
"('CAF', 'Endothelial', 'Endothelial')",48
"('Malignant', 'Malignant', 'Malignant')",2100
"('Malignant', 'Malignant', 'Macrophage')",184
"('Malignant', 'Malignant', 'Plasma')",22
"('Malignant', 'Malignant', 'Endothelial')",38
"('Malignant', 'Macrophage', 'Macrophage')",112
"('Malignant', 'Macrophage', 'Plasma')",11
"('Malignant', 'Macrophage', 'Endothelial')",20
"('Malignant', 'Plasma', 'Plasma')",16
"('Malignant', 'Plasma', 'Endothelial')",1
"('Malignant', 'Endothelial', 'Endothelial')",12
"('Macrophage', 'Macrophage', 'Macrophage')",300
"('Macrophage', 'Macrophage', 'Plasma')",72
"('Macrophage', 'Macrophage', 'Endothelial')",58
"('Macrophage', 'Plasma', 'Plasma')",46
"('Macrophage', 'Plasma', 'Endothelial')",15
"('Macrophage', 'Endothelial', 'Endothelial')",34
"('Plasma', 'Plasma', 'Plasma')",114
"('Plasma', 'Plasma', 'Endothelial')",22
"('Plasma', 'Endothelial', 'Endothelial')",18
"('Endothelial', 'Endothelial', 'Endothelial')",90
