id,X,Y,label
0,1441,3593,CD8+ T
1,4992,3601,Malignant
2,5040,3622,Malignant
3,5245,3601,Malignant
4,1196,3605,Plasma
5,5187,3585,Malignant
6,2268,3606,Endothelial
7,5070,3569,Malignant
8,5024,3517,Malignant
9,5002,3524,Malignant
10,2295,3554,Macrophage
11,5343,3543,Mast
12,5430,3546,Schwann/nerve
13,1207,3527,Plasma
14,2219,3504,Plasma
15,3204,3516,Macrophage
16,5124,3517,Plasma
17,4727,3516,CAF
18,1829,3509,Plasma
19,2299,3493,Plasma
20,2988,3492,Mast
21,2244,3468,Plasma
22,5065,3456,Malignant
23,5092,3472,Malignant
24,1029,3477,Endothelial
25,4872,3442,Plasma
26,1646,3444,Pericyte
27,5158,3422,Malignant
28,3278,3419,Endothelial
29,3006,3421,Malignant
30,2388,3387,Endothelial
31,2919,3410,Malignant
32,5103,3386,Malignant
33,3051,3373,Malignant
34,3172,3375,Endothelial
35,2875,3359,Malignant
36,2930,3349,Malignant
37,5194,3372,Malignant
38,3236,3358,Pericyte
39,1996,3362,Macrophage
40,3157,3334,Macrophage
41,5151,3344,Macrophage
42,3596,3360,Macrophage
43,2199,3313,Macrophage
44,3282,3343,CAF
45,3382,3331,CAF
46,3122,3326,Macrophage
47,3440,3346,Macrophage
48,3508,3331,Dendritic (activated)
49,5208,3322,Malignant
50,3329,3332,CAF
51,1371,3308,Pericyte
52,3003,3300,Malignant
53,2000,3299,Plasma
54,3590,3288,Macrophage
55,2789,3294,CD8+ T
56,2919,3263,Malignant
57,300,3285,Mast
58,3442,3290,CAF
59,3303,3280,CAF
60,3095,3288,Malignant
61,1287,3269,Pericyte
62,1333,3276,Pericyte
63,4077,3271,Macrophage
64,1383,3267,Smooth muscle
65,3227,3260,CAF
66,3139,3255,Macrophage
67,1964,3223,CAF
68,3452,3227,Macrophage
69,3118,3227,Dendritic (activated)
70,3079,3185,CAF
71,1238,3188,Treg
72,3398,3169,Malignant
73,3117,3165,Macrophage
74,3203,3138,Malignant
75,3661,3169,Macrophage
76,1389,3144,Macrophage
77,3615,3146,CAF
78,1157,3134,Dendritic (activated)
79,3686,3146,Macrophage
80,5247,3133,Plasma
81,3136,3125,Macrophage
82,3360,3133,Malignant
83,3738,3128,CAF
84,3781,3104,Macrophage
85,2935,3101,Macrophage
86,82,3098,Plasma
87,3483,3086,Malignant
88,3680,3085,Malignant
89,3086,3076,CAF
90,3757,3043,Malignant
91,2314,3046,Macrophage
92,2359,3043,Macrophage
93,2925,3030,CAF
94,3675,3013,Malignant
95,3853,3004,Malignant
96,3344,3006,Schwann/nerve
97,96,2993,Plasma
98,4094,2996,CAF
99,2475,3000,CAF
100,1307,2970,Macrophage
101,2514,2904,Malignant
102,3319,2953,Schwann/nerve
103,3379,2948,Schwann/nerve
104,2408,2959,Macrophage
105,3781,2924,Malignant
106,4234,2958,CAF
107,1105,2949,Dendritic (activated)
108,2450,2934,Malignant
109,630,2929,Plasma
110,194,2890,Plasma
111,28,2899,Malignant
112,3612,2900,Malignant
113,3874,2894,Malignant
114,3246,2912,Schwann/nerve
115,3719,2915,Malignant
116,2361,2885,Malignant
117,4247,2910,CAF
118,2708,2904,Plasma
119,2405,2895,Endothelial
