"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Malignant","Malignant","TGFB3","TGFbR1_R2",2.34182368608843e-05,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Malignant","Malignant","TGFB3","ACVR1_TGFbR",1.79465479682988e-05,0,"TGFB3_ACVR1_TGFBR1","TGFB3 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Malignant","Malignant","WNT11","FZD8",4.39588699548971e-05,0,"WNT11_FZD8","WNT11 - FZD8","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Malignant","Malignant","FGF1","FGFR3",3.95046121634701e-05,0,"FGF1_FGFR3","FGF1 - FGFR3","FGF","Secreted Signaling","PMC: 4393358"
"Malignant","Malignant","IGF2","ITGA6_ITGB4",2.1645617317126e-05,0,"IGF2_ITGA6_ITGB4","IGF2 - (ITGA6+ITGB4)","IGF","Secreted Signaling","PMID: 28190785; PMID: 28873464"
"Malignant","Malignant","MIF","CD74_CXCR4",0.000386173917586388,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Malignant","Malignant","MIF","CD74_CD44",0.00156679317968214,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Malignant","Malignant","MIF","CD74_CXCR2",0.000386173917586388,0.02,"MIF_CD74_CXCR2","MIF - (CD74+CXCR2)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Malignant","Malignant","IL7","IL7R_IL2RG",1.94764265317082e-05,0,"IL7_IL7R_IL2RG","IL7 - (IL7R+IL2RG)","IL2","Secreted Signaling","KEGG: hsa04060"
"Malignant","Malignant","IL1A","IL1R1_IL1RAP",7.73275563442989e-05,0,"IL1A_IL1R1_IL1RAP","IL1A - (IL1R1+IL1RAP)","IL1","Secreted Signaling","KEGG: hsa04060"
"Malignant","Malignant","CD70","CD27",3.84073039718639e-05,0,"CD70_CD27","CD70 - CD27","CD70","Secreted Signaling","KEGG: hsa04060"
"Malignant","Malignant","SPP1","CD44",0.000325819732827819,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"Malignant","Malignant","SPP1","ITGAV_ITGB1",0.000110410918083037,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Malignant","Malignant","SPP1","ITGAV_ITGB5",0.000110410918083037,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"Malignant","Malignant","SPP1","ITGAV_ITGB6",0.000171037487600035,0,"SPP1_ITGAV_ITGB6","SPP1 - (ITGAV+ITGB6)","SPP1","Secreted Signaling","PMID: 21907263"
"Malignant","Malignant","SPP1","ITGA5_ITGB1",6.98328298191637e-05,0,"SPP1_ITGA5_ITGB1","SPP1 - (ITGA5+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Malignant","Malignant","LGALS9","CD44",7.24227381062112e-05,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"CAF","Malignant","COL1A1","ITGA1_ITGB1",0.0028613717884828,0,"COL1A1_ITGA1_ITGB1","COL1A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL1A2","ITGA1_ITGB1",0.000609901044309463,0,"COL1A2_ITGA1_ITGB1","COL1A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL4A1","ITGA1_ITGB1",0.00011684718036263,0,"COL4A1_ITGA1_ITGB1","COL4A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL4A2","ITGA1_ITGB1",0.000207709443773579,0,"COL4A2_ITGA1_ITGB1","COL4A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Malignant","Malignant","COL6A1","ITGA1_ITGB1",0.00018824034897901,0,"COL6A1_ITGA1_ITGB1","COL6A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL6A3","ITGA1_ITGB1",0.00011684718036263,0,"COL6A3_ITGA1_ITGB1","COL6A3 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Malignant","Malignant","COL9A2","ITGA1_ITGB1",0.000175260531194496,0,"COL9A2_ITGA1_ITGB1","COL9A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","FN1","ITGA3_ITGB1",0.00101037984808154,0,"FN1_ITGA3_ITGB1","FN1 - (ITGA3+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","FN1","ITGA5_ITGB1",0.00051188102670324,0,"FN1_ITGA5_ITGB1","FN1 - (ITGA5+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","THBS1","ITGA3_ITGB1",0.00030639147368303,0,"THBS1_ITGA3_ITGB1","THBS1 - (ITGA3+ITGB1)","THBS","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","THBS2","ITGA3_ITGB1",0.000490136253751393,0,"THBS2_ITGA3_ITGB1","THBS2 - (ITGA3+ITGB1)","THBS","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL1A1","ITGA3_ITGB1",0.00672775755703758,0,"COL1A1_ITGA3_ITGB1","COL1A1 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Malignant","COL1A2","ITGA3_ITGB1",0.00143840927586042,0,"COL1A2_ITGA3_ITGB1","COL1A2 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
