triangle_index,vertex_ids,vertex_labels
0,"4,221,236","CAF,CAF,Macrophage"
1,"6,201,165","CAF,CAF,Macrophage"
2,"37,260,51","CAF,CAF,Macrophage"
3,"73,349,393","CAF,CAF,Macrophage"
4,"76,78,403","CAF,CAF,Macrophage"
5,"76,399,403","CAF,CAF,Macrophage"
6,"78,76,403","CAF,CAF,Macrophage"
7,"78,399,403","CAF,CAF,Macrophage"
8,"81,317,66","CAF,CAF,Macrophage"
9,"81,454,409","CAF,CAF,Macrophage"
10,"148,187,9","CAF,CAF,Macrophage"
11,"166,181,176","CAF,CAF,Macrophage"
12,"173,174,200","CAF,CAF,Macrophage"
13,"174,173,200","CAF,CAF,Macrophage"
14,"174,189,200","CAF,CAF,Macrophage"
15,"178,181,176","CAF,CAF,Macrophage"
16,"179,197,15","CAF,CAF,Macrophage"
17,"181,166,176","CAF,CAF,Macrophage"
18,"181,178,176","CAF,CAF,Macrophage"
19,"182,187,9","CAF,CAF,Macrophage"
20,"187,148,9","CAF,CAF,Macrophage"
21,"187,182,9","CAF,CAF,Macrophage"
22,"189,174,200","CAF,CAF,Macrophage"
23,"189,211,200","CAF,CAF,Macrophage"
24,"197,179,15","CAF,CAF,Macrophage"
25,"197,204,15","CAF,CAF,Macrophage"
26,"201,6,165","CAF,CAF,Macrophage"
27,"204,197,15","CAF,CAF,Macrophage"
28,"208,227,228","CAF,CAF,Macrophage"
29,"211,189,200","CAF,CAF,Macrophage"
30,"221,4,236","CAF,CAF,Macrophage"
31,"221,230,236","CAF,CAF,Macrophage"
32,"227,208,228","CAF,CAF,Macrophage"
33,"227,232,228","CAF,CAF,Macrophage"
34,"230,221,236","CAF,CAF,Macrophage"
35,"230,253,236","CAF,CAF,Macrophage"
36,"232,227,228","CAF,CAF,Macrophage"
37,"232,244,258","CAF,CAF,Macrophage"
38,"232,248,228","CAF,CAF,Macrophage"
39,"232,248,258","CAF,CAF,Macrophage"
40,"243,248,29","CAF,CAF,Macrophage"
41,"244,232,258","CAF,CAF,Macrophage"
42,"244,256,258","CAF,CAF,Macrophage"
43,"248,232,228","CAF,CAF,Macrophage"
44,"248,232,258","CAF,CAF,Macrophage"
45,"248,243,29","CAF,CAF,Macrophage"
46,"253,230,236","CAF,CAF,Macrophage"
47,"256,244,258","CAF,CAF,Macrophage"
48,"256,265,258","CAF,CAF,Macrophage"
49,"260,37,51","CAF,CAF,Macrophage"
50,"262,276,263","CAF,CAF,Macrophage"
51,"264,273,272","CAF,CAF,Macrophage"
52,"265,256,258","CAF,CAF,Macrophage"
53,"265,296,258","CAF,CAF,Macrophage"
54,"273,264,272","CAF,CAF,Macrophage"
55,"273,293,272","CAF,CAF,Macrophage"
56,"274,283,258","CAF,CAF,Macrophage"
57,"276,262,263","CAF,CAF,Macrophage"
58,"276,299,263","CAF,CAF,Macrophage"
59,"283,274,258","CAF,CAF,Macrophage"
60,"283,296,258","CAF,CAF,Macrophage"
61,"293,273,272","CAF,CAF,Macrophage"
62,"293,313,325","CAF,CAF,Macrophage"
63,"296,265,258","CAF,CAF,Macrophage"
64,"296,283,258","CAF,CAF,Macrophage"
65,"299,276,263","CAF,CAF,Macrophage"
66,"313,293,325","CAF,CAF,Macrophage"
67,"317,81,66","CAF,CAF,Macrophage"
68,"330,349,393","CAF,CAF,Macrophage"
69,"346,359,358","CAF,CAF,Macrophage"
70,"348,390,60","CAF,CAF,Macrophage"
71,"349,73,393","CAF,CAF,Macrophage"
72,"349,330,393","CAF,CAF,Macrophage"
73,"359,346,358","CAF,CAF,Macrophage"
74,"359,362,358","CAF,CAF,Macrophage"
75,"362,359,358","CAF,CAF,Macrophage"
76,"362,381,69","CAF,CAF,Macrophage"
77,"381,362,69","CAF,CAF,Macrophage"
78,"382,391,409","CAF,CAF,Macrophage"
79,"390,348,60","CAF,CAF,Macrophage"
80,"390,402,60","CAF,CAF,Macrophage"
81,"391,382,409","CAF,CAF,Macrophage"
82,"391,431,409","CAF,CAF,Macrophage"
83,"399,76,403","CAF,CAF,Macrophage"
84,"399,78,403","CAF,CAF,Macrophage"
85,"399,429,403","CAF,CAF,Macrophage"
86,"402,390,60","CAF,CAF,Macrophage"
87,"418,455,322","CAF,CAF,Macrophage"
88,"421,429,403","CAF,CAF,Macrophage"
89,"429,399,403","CAF,CAF,Macrophage"
90,"429,421,403","CAF,CAF,Macrophage"
91,"429,432,446","CAF,CAF,Macrophage"
92,"429,438,446","CAF,CAF,Macrophage"
93,"431,391,409","CAF,CAF,Macrophage"
94,"431,454,409","CAF,CAF,Macrophage"
95,"432,429,446","CAF,CAF,Macrophage"
96,"432,466,446","CAF,CAF,Macrophage"
97,"433,437,417","CAF,CAF,Macrophage"
98,"437,433,417","CAF,CAF,Macrophage"
99,"437,440,79","CAF,CAF,Macrophage"
100,"438,429,446","CAF,CAF,Macrophage"
101,"440,437,79","CAF,CAF,Macrophage"
102,"451,480,478","CAF,CAF,Macrophage"
103,"454,81,409","CAF,CAF,Macrophage"
104,"454,431,409","CAF,CAF,Macrophage"
105,"455,418,322","CAF,CAF,Macrophage"
106,"455,486,322","CAF,CAF,Macrophage"
107,"466,432,446","CAF,CAF,Macrophage"
108,"467,469,459","CAF,CAF,Macrophage"
109,"467,469,489","CAF,CAF,Macrophage"
110,"469,467,459","CAF,CAF,Macrophage"
111,"469,467,489","CAF,CAF,Macrophage"
112,"469,477,489","CAF,CAF,Macrophage"
113,"477,469,489","CAF,CAF,Macrophage"
114,"480,451,478","CAF,CAF,Macrophage"
115,"481,490,498","CAF,CAF,Macrophage"
116,"486,455,322","CAF,CAF,Macrophage"
117,"486,562,322","CAF,CAF,Macrophage"
118,"490,481,498","CAF,CAF,Macrophage"
119,"490,497,498","CAF,CAF,Macrophage"
120,"495,504,483","CAF,CAF,Macrophage"
121,"497,490,498","CAF,CAF,Macrophage"
122,"504,495,483","CAF,CAF,Macrophage"
123,"504,516,483","CAF,CAF,Macrophage"
124,"516,504,483","CAF,CAF,Macrophage"
125,"518,525,512","CAF,CAF,Macrophage"
126,"523,548,128","CAF,CAF,Macrophage"
127,"525,518,512","CAF,CAF,Macrophage"
128,"528,530,545","CAF,CAF,Macrophage"
129,"530,528,545","CAF,CAF,Macrophage"
130,"530,533,545","CAF,CAF,Macrophage"
131,"533,530,545","CAF,CAF,Macrophage"
132,"533,535,545","CAF,CAF,Macrophage"
133,"535,533,545","CAF,CAF,Macrophage"
134,"535,564,545","CAF,CAF,Macrophage"
135,"548,523,128","CAF,CAF,Macrophage"
136,"559,562,580","CAF,CAF,Macrophage"
137,"562,486,322","CAF,CAF,Macrophage"
138,"562,559,580","CAF,CAF,Macrophage"
139,"564,535,545","CAF,CAF,Macrophage"
140,"564,566,580","CAF,CAF,Macrophage"
141,"566,564,580","CAF,CAF,Macrophage"
