"gene","p_val","avg_log2FC","pct.1","pct.2","p_adj"
"CX3CL1",0.000422955857334109,-1.84707191634484,0.055,0.241379310344828,0.241084838680442
"CDH1",0.00223276157188355,-1.68866064951299,0.05,0.206896551724138,0.63633704798681
"ABL1",0.17779384436303,2.85361269680541,0.06,0,0.822097450129927
"ACKR3",0.159712879201068,3.24166042222504,0.065,0,0.822097450129927
"ADIRF",0.159712879201068,3.06014041863694,0.065,0,0.822097450129927
"ANGPT1",0.159712879201068,2.90710723521524,0.065,0,0.822097450129927
"APOD",0.0252481673231967,2.86980335276253,0.205,0.0344827586206897,0.822097450129927
"BATF3",0.129111826377284,3.08439933327753,0.075,0,0.822097450129927
"BIRC5",0.0940738709993846,3.5591546500994,0.09,0,0.822097450129927
"C1QB",0.159712879201068,2.88776859656955,0.065,0,0.822097450129927
"CALD1",0.163252828239999,1.22574472449984,0.17,0.0689655172413793,0.822097450129927
"CAV1",0.0267969835867696,-1.59266841038607,0.1,0.241379310344828,0.822097450129927
"CCND1",0.0617119512678831,3.72674815909439,0.11,0,0.822097450129927
"CCR7",0.168328076910394,1.23738157315552,0.125,0.0344827586206897,0.822097450129927
"CD24",0.177793117806854,3.0366595065496,0.06,0,0.822097450129927
"CD70",0.129112346347903,3.06631421066079,0.075,0,0.822097450129927
"CD79A",0.159711582152708,2.7559241995746,0.065,0,0.822097450129927
"CD8A",0.104525743367803,3.22352444052082,0.085,0,0.822097450129927
"CLCF1",0.17779384436303,3.02624738061614,0.06,0,0.822097450129927
"COL12A1",0.144489712451117,2.13713633102858,0.125,0.0344827586206897,0.822097450129927
"COL16A1",0.0686549284251121,1.05755161532695,0.385,0.206896551724138,0.822097450129927
"COL18A1",0.0976374317882558,-1.24347763595188,0.08,0.172413793103448,0.822097450129927
"COL1A1",0.0164832454307582,-0.486226794467274,0.95,1,0.822097450129927
"COL27A1",0.104526162796615,3.38504824447336,0.085,0,0.822097450129927
"COL3A1",0.00966907597800956,-0.647428759597976,0.74,0.827586206896552,0.822097450129927
