triangle_index,vertex_ids,vertex_labels
0,"96,103,465","CAF,Malignant,Malignant"
1,"96,465,103","CAF,Malignant,Malignant"
2,"174,167,171","CAF,Malignant,Malignant"
3,"174,171,167","CAF,Malignant,Malignant"
4,"184,18,188","CAF,Malignant,Malignant"
5,"184,171,175","CAF,Malignant,Malignant"
6,"184,175,171","CAF,Malignant,Malignant"
7,"184,175,188","CAF,Malignant,Malignant"
8,"184,188,18","CAF,Malignant,Malignant"
9,"184,188,175","CAF,Malignant,Malignant"
10,"189,18,207","CAF,Malignant,Malignant"
11,"189,207,18","CAF,Malignant,Malignant"
12,"208,18,207","CAF,Malignant,Malignant"
13,"208,207,18","CAF,Malignant,Malignant"
14,"208,207,212","CAF,Malignant,Malignant"
15,"208,212,207","CAF,Malignant,Malignant"
16,"211,207,212","CAF,Malignant,Malignant"
17,"211,212,207","CAF,Malignant,Malignant"
18,"211,212,219","CAF,Malignant,Malignant"
19,"211,219,212","CAF,Malignant,Malignant"
20,"211,219,223","CAF,Malignant,Malignant"
21,"211,223,219","CAF,Malignant,Malignant"
22,"227,212,219","CAF,Malignant,Malignant"
23,"227,219,212","CAF,Malignant,Malignant"
24,"242,28,31","CAF,Malignant,Malignant"
25,"242,31,28","CAF,Malignant,Malignant"
26,"260,36,255","CAF,Malignant,Malignant"
27,"260,36,285","CAF,Malignant,Malignant"
28,"260,255,36","CAF,Malignant,Malignant"
29,"260,285,36","CAF,Malignant,Malignant"
30,"271,31,35","CAF,Malignant,Malignant"
31,"271,35,31","CAF,Malignant,Malignant"
32,"271,35,280","CAF,Malignant,Malignant"
33,"271,280,35","CAF,Malignant,Malignant"
34,"273,36,285","CAF,Malignant,Malignant"
35,"273,285,36","CAF,Malignant,Malignant"
36,"273,285,288","CAF,Malignant,Malignant"
37,"273,288,285","CAF,Malignant,Malignant"
38,"291,45,297","CAF,Malignant,Malignant"
39,"291,280,292","CAF,Malignant,Malignant"
40,"291,292,280","CAF,Malignant,Malignant"
41,"291,292,297","CAF,Malignant,Malignant"
42,"291,297,45","CAF,Malignant,Malignant"
43,"291,297,292","CAF,Malignant,Malignant"
44,"348,50,57","CAF,Malignant,Malignant"
45,"348,57,50","CAF,Malignant,Malignant"
46,"348,57,347","CAF,Malignant,Malignant"
47,"348,347,57","CAF,Malignant,Malignant"
48,"390,74,378","CAF,Malignant,Malignant"
49,"390,347,378","CAF,Malignant,Malignant"
50,"390,378,74","CAF,Malignant,Malignant"
51,"390,378,347","CAF,Malignant,Malignant"
52,"426,91,448","CAF,Malignant,Malignant"
53,"426,448,91","CAF,Malignant,Malignant"
54,"433,435,441","CAF,Malignant,Malignant"
55,"433,441,435","CAF,Malignant,Malignant"
56,"436,441,463","CAF,Malignant,Malignant"
57,"436,463,441","CAF,Malignant,Malignant"
58,"440,89,444","CAF,Malignant,Malignant"
59,"440,444,89","CAF,Malignant,Malignant"
60,"440,444,465","CAF,Malignant,Malignant"
61,"440,465,444","CAF,Malignant,Malignant"
62,"447,88,93","CAF,Malignant,Malignant"
63,"447,93,88","CAF,Malignant,Malignant"
64,"447,93,462","CAF,Malignant,Malignant"
65,"447,100,462","CAF,Malignant,Malignant"
66,"447,462,93","CAF,Malignant,Malignant"
67,"447,462,100","CAF,Malignant,Malignant"
68,"494,99,479","CAF,Malignant,Malignant"
69,"494,108,118","CAF,Malignant,Malignant"
70,"494,118,108","CAF,Malignant,Malignant"
71,"494,118,509","CAF,Malignant,Malignant"
72,"494,479,99","CAF,Malignant,Malignant"
73,"494,509,118","CAF,Malignant,Malignant"
74,"503,526,527","CAF,Malignant,Malignant"
75,"503,527,526","CAF,Malignant,Malignant"
76,"516,103,105","CAF,Malignant,Malignant"
77,"516,105,103","CAF,Malignant,Malignant"
78,"516,105,493","CAF,Malignant,Malignant"
79,"516,120,493","CAF,Malignant,Malignant"
80,"516,493,105","CAF,Malignant,Malignant"
81,"516,493,120","CAF,Malignant,Malignant"
82,"522,526,534","CAF,Malignant,Malignant"
83,"522,534,526","CAF,Malignant,Malignant"
84,"528,130,538","CAF,Malignant,Malignant"
85,"528,527,538","CAF,Malignant,Malignant"
86,"528,538,130","CAF,Malignant,Malignant"
87,"528,538,527","CAF,Malignant,Malignant"
88,"532,133,554","CAF,Malignant,Malignant"
89,"532,554,133","CAF,Malignant,Malignant"
90,"539,110,511","CAF,Malignant,Malignant"
91,"539,505,515","CAF,Malignant,Malignant"
92,"539,511,110","CAF,Malignant,Malignant"
93,"539,511,519","CAF,Malignant,Malignant"
94,"539,515,505","CAF,Malignant,Malignant"
95,"539,519,511","CAF,Malignant,Malignant"
96,"540,509,515","CAF,Malignant,Malignant"
97,"540,515,509","CAF,Malignant,Malignant"
98,"563,138,558","CAF,Malignant,Malignant"
99,"563,558,138","CAF,Malignant,Malignant"
100,"582,138,575","CAF,Malignant,Malignant"
101,"582,575,138","CAF,Malignant,Malignant"
102,"582,575,583","CAF,Malignant,Malignant"
103,"582,583,575","CAF,Malignant,Malignant"
