"gene","p_val","avg_log2FC","pct.1","pct.2","p_adj"
"AQP3",0.000694951544007342,-3.9799059922725,0,0.222222222222222,0.462142776764882
"CD4",0.00153739197262329,-2.27634185124265,0.04,0.333333333333333,0.511182830897244
"CLEC2B",0.00494414710326723,-3.28273717744471,0.02,0.222222222222222,0.545125946825198
"CMKLR1",0.00588163827083131,-2.19686614491061,0.04,0.277777777777778,0.545125946825198
"EPHA2",0.00655790612722042,-2.07705612715921,0.02,0.222222222222222,0.545125946825198
"EPHB3",0.00542476765432782,-2.1713779502641,0.04,0.277777777777778,0.545125946825198
"HLA-DQA1",0.00352648639759167,-1.60941386495917,0.2,0.555555555555556,0.545125946825198
"SOX4",0.00637290704077597,-1.93566811263267,0.04,0.277777777777778,0.545125946825198
"C1QC",0.00759595081726714,-1.4398304007782,0.28,0.611111111111111,0.561256365942516
"ADIRF",0.0308005222507955,-1.86460135025975,0.08,0.277777777777778,0.706287837819967
"ATG5",0.029145868205347,-1.72524014328122,0.02,0.166666666666667,0.706287837819967
"C1QA",0.0303484237907165,-1.30182685320417,0.24,0.5,0.706287837819967
"CALM2",0.0221745573194214,-1.73685100260094,0.1,0.333333333333333,0.706287837819967
"CD164",0.0267193204034549,-2.4870118062583,0.02,0.166666666666667,0.706287837819967
"CD28",0.029145868205347,-1.91261945186601,0.02,0.166666666666667,0.706287837819967
"CD69",0.0246934155034198,-2.77630929486522,0.04,0.222222222222222,0.706287837819967
"CD74",0.0247611323887454,-1.22055478588901,0.46,0.666666666666667,0.706287837819967
"CTSG",0.021297264956684,-2.25898784969605,0.04,0.222222222222222,0.706287837819967
"DUSP6",0.0267193204034549,-2.27738867086345,0.02,0.166666666666667,0.706287837819967
"HDAC5",0.029145868205347,-1.69596955189767,0.02,0.166666666666667,0.706287837819967
"HLA-DQB1",0.0186767368641271,-1.1244547470971,0.32,0.666666666666667,0.706287837819967
"IFNGR1",0.026560850329308,-1.51750699457455,0.04,0.222222222222222,0.706287837819967
"IL12A",0.0267193204034549,-2.68230176820391,0.02,0.166666666666667,0.706287837819967
"IL7R",0.0246934155034198,-1.78656640144346,0.04,0.222222222222222,0.706287837819967
"KRT17",0.0120597325771663,-1.13623397683068,0.1,0.388888888888889,0.706287837819967
"MYL9",0.0223852798445668,-3.07111745333372,0.02,0.166666666666667,0.706287837819967
"PROKR1",0.0244692623273165,-3.41744318769512,0.02,0.166666666666667,0.706287837819967
"REG1A",0.029145868205347,-2.08902070997168,0.02,0.166666666666667,0.706287837819967
"SERPINH1",0.0246934155034198,-1.97796974329994,0.04,0.222222222222222,0.706287837819967
"MRC2",0.0346491473989283,-2.0892103370041,0.08,0.277777777777778,0.768056100676245
"CST7",0.0367176316882125,-1.58136992880441,0.08,0.277777777777778,0.787652421698751
"NOD2",0.0384006174799949,-1.03335262626516,0.1,0.333333333333333,0.798012832006144
"ACTG2",0.28295225806795,-1.35254211880338,0.04,0.111111111111111,0.833396885539932
"ACVR2A",0.175043387342938,-1.47205944510634,0.06,0.166666666666667,0.833396885539932
"ADGRA2",0.088227860140625,-1.56305819617644,0.04,0.166666666666667,0.833396885539932
"ADGRB2",0.193714771947082,-0.843324846336215,0.06,0.166666666666667,0.833396885539932
"ADGRF3",0.226257718900904,3.1551772661491,0.08,0,0.833396885539932
"ADGRG6",0.314637469570808,-0.577852262521485,0.04,0.111111111111111,0.833396885539932
"AKT1",0.28295225806795,-1.51519700219972,0.04,0.111111111111111,0.833396885539932
"ANGPT4",0.184203980600051,-1.29473000142893,0.06,0.166666666666667,0.833396885539932
"ARF1",0.0631449429635956,-1.43282006695941,0.06,0.222222222222222,0.833396885539932
"ATG12",0.166227137565411,-1.67921770357534,0.06,0.166666666666667,0.833396885539932
"AXL",0.203563447738046,-0.92111787076035,0.06,0.166666666666667,0.833396885539932
"AZU1",0.226257718900904,3.35901340295203,0.08,0,0.833396885539932
"BCL2",0.0574041785097717,4.26006387297398,0.18,0,0.833396885539932
"BECN1",0.226257718900904,2.99398496099752,0.08,0,0.833396885539932
"BGN",0.262234755673092,2.07403718413246,0.16,0.0555555555555556,0.833396885539932
"BMP2",0.226257718900904,2.9398998081639,0.08,0,0.833396885539932
"BMP6",0.0773529545693491,-2.9029964628926,0.04,0.166666666666667,0.833396885539932
"BMP7",0.17164776487002,3.53931616287003,0.1,0,0.833396885539932
"BMPR1A",0.233287653873381,2.02021667853558,0.16,0.0555555555555556,0.833396885539932
"C11orf96",0.175780752229646,2.75960542595056,0.18,0.0555555555555556,0.833396885539932
"C1QB",0.0987569293849204,-0.571814134035918,0.14,0.333333333333333,0.833396885539932
"CASP3",0.298514215387149,-0.792151108524604,0.04,0.111111111111111,0.833396885539932
"CASR",0.100303142639118,-1.2273283679458,0.04,0.166666666666667,0.833396885539932
"CCL7",0.17164776487002,3.49853122820136,0.1,0,0.833396885539932
"CCR10",0.314637469570808,-0.542081816577941,0.04,0.111111111111111,0.833396885539932
"CCR5",0.0773529545693491,-2.60543903954529,0.04,0.166666666666667,0.833396885539932
"CCR7",0.253502631044789,-1.7290035732603,0.04,0.111111111111111,0.833396885539932
"CD163",0.2095677273727,0.809841533264843,0.26,0.111111111111111,0.833396885539932
"CD2",0.224401536151949,-0.667209450378341,0.06,0.166666666666667,0.833396885539932
"CD300A",0.0698375828978747,-1.79984226528143,0.14,0.333333333333333,0.833396885539932
"CD33",0.314637469570808,-0.625348272064742,0.04,0.111111111111111,0.833396885539932
"CD3G",0.0669793574042456,-1.17468070670625,0.06,0.222222222222222,0.833396885539932
"CD40",0.166227137565411,-1.71686666626585,0.06,0.166666666666667,0.833396885539932
"CD52",0.130643179665965,3.50389229214105,0.12,0,0.833396885539932
"CD5L",0.203581270282648,-0.943705019198206,0.06,0.166666666666667,0.833396885539932
"CD68",0.315813556625659,-0.145597369337053,0.42,0.722222222222222,0.833396885539932
"CD79A",0.203581270282648,-0.879704010494285,0.06,0.166666666666667,0.833396885539932
"CD81",0.207990986260953,-0.629431442284219,0.16,0.333333333333333,0.833396885539932
"CD9",0.106257019517477,-1.66776262128188,0.12,0.277777777777778,0.833396885539932
"CDH1",0.17164776487002,3.50808093494876,0.1,0,0.833396885539932
"CELSR1",0.088227860140625,-1.47973372051607,0.04,0.166666666666667,0.833396885539932
"CHEK1",0.226257718900904,2.61739005785251,0.08,0,0.833396885539932
"CHI3L1",0.161982146399627,-0.454207106083654,0.12,0.277777777777778,0.833396885539932
"CLEC4D",0.28295225806795,-0.91420498693629,0.04,0.111111111111111,0.833396885539932
"CLEC5A",0.171627797106738,3.22216292122385,0.1,0,0.833396885539932
"COL1A1",0.138955526693614,1.25799408190563,0.5,0.333333333333333,0.833396885539932
"COL27A1",0.21904093066553,-0.801726954922645,0.06,0.166666666666667,0.833396885539932
"COL4A2",0.126545313613885,-1.82832276687311,0.08,0.222222222222222,0.833396885539932
"COL5A2",0.0994936416053679,3.90433670355634,0.14,0,0.833396885539932
"COL6A1",0.226257718900904,3.03172236558401,0.08,0,0.833396885539932
"COL6A3",0.057431616365951,4.67543759436745,0.18,0,0.833396885539932
"COL8A1",0.226257718900904,3.92684821191132,0.08,0,0.833396885539932
"COTL1",0.249822020069811,0.793073114275853,0.18,0.0555555555555556,0.833396885539932
"CRYAB",0.226257718900904,3.32003068629866,0.08,0,0.833396885539932
"CSF2RB",0.088227860140625,-2.00808127637196,0.04,0.166666666666667,0.833396885539932
"CTSW",0.226257718900904,3.42969166197738,0.08,0,0.833396885539932
"CX3CR1",0.224401536151949,-0.453609642404051,0.06,0.166666666666667,0.833396885539932
"CXCL1",0.109067593463837,-1.7522878441969,0.08,0.222222222222222,0.833396885539932
"CXCL10",0.298514215387149,-0.933832575389191,0.04,0.111111111111111,0.833396885539932
"CXCL2",0.253502631044789,-2.51576112242399,0.04,0.111111111111111,0.833396885539932
"CXCL6",0.0941103071969545,-1.10928261446301,0.04,0.166666666666667,0.833396885539932
"CXCL8",0.249822020069811,0.144464294948274,0.18,0.0555555555555556,0.833396885539932
"CXCR1",0.088227860140625,-2.04506387330557,0.04,0.166666666666667,0.833396885539932
"DCN",0.171627797106738,3.69752694874526,0.1,0,0.833396885539932
"DDC",0.314637469570808,-0.43704373742803,0.04,0.111111111111111,0.833396885539932
"DLL1",0.203581270282648,-0.634691239469698,0.06,0.166666666666667,0.833396885539932
"DNMT1",0.184203980600051,-1.31340122716927,0.06,0.166666666666667,0.833396885539932
"DUSP5",0.28998374487645,1.03831185352684,0.38,0.277777777777778,0.833396885539932
"EIF5A",0.0537708362080611,-0.866860517074279,0.18,0.444444444444444,0.833396885539932
"EPOR",0.314637469570808,0.191088700248138,0.04,0.111111111111111,0.833396885539932
"FABP5",0.182403009921669,-0.534683972310663,0.12,0.277777777777778,0.833396885539932
"FCGR3A",0.129806483574762,-0.836840836257529,0.16,0.333333333333333,0.833396885539932
"FGF18",0.298514215387149,-0.303914968254082,0.04,0.111111111111111,0.833396885539932
"FGFR3",0.226257718900904,2.81933416871872,0.08,0,0.833396885539932
"FGR",0.130643179665965,3.49872821965806,0.12,0,0.833396885539932
"FLT1",0.120492100799482,-1.292062953699,0.08,0.222222222222222,0.833396885539932
"FOS",0.252322098126892,-0.449684763477363,0.1,0.222222222222222,0.833396885539932
"FPR1",0.175780752229646,2.45731491558699,0.18,0.0555555555555556,0.833396885539932
"FYB1",0.17164776487002,3.76037992838677,0.1,0,0.833396885539932
"GADD45B",0.0949664998319896,-0.635411048415733,0.1,0.277777777777778,0.833396885539932
"GCG",0.226257718900904,3.59577991753268,0.08,0,0.833396885539932
"GDF3",0.17164776487002,3.27871670837157,0.1,0,0.833396885539932
"GLUL",0.0563523872578966,-0.674826949765889,0.14,0.388888888888889,0.833396885539932
"GPBAR1",0.0461059603761892,-1.26599936242352,0.08,0.277777777777778,0.833396885539932
"GPER1",0.226257718900904,3.40048217606659,0.08,0,0.833396885539932
"GPR183",0.0985172415965581,-1.70627364550973,0.08,0.222222222222222,0.833396885539932
"GSN",0.233287653873381,-0.627766857449153,0.1,0.222222222222222,0.833396885539932
"HCAR3",0.253502631044789,-1.7460336805547,0.04,0.111111111111111,0.833396885539932
"HLA-C",0.0465069578746467,-0.93464085942871,0.36,0.611111111111111,0.833396885539932
"HLA-DRB1",0.128043419523098,-0.727043888465414,0.56,0.722222222222222,0.833396885539932
"HLA-DRB5",0.104392400028594,-0.428536098108425,0.4,0.611111111111111,0.833396885539932
"HMGB2",0.308403035089217,1.99253942319894,0.14,0.0555555555555556,0.833396885539932
"HSP90AA1",0.17164776487002,3.80042308987903,0.1,0,0.833396885539932
"HSP90AB1",0.274104253334086,-0.670897173863335,0.2,0.333333333333333,0.833396885539932
"HSP90B1",0.285764575937463,-1.30463738992706,0.08,0.166666666666667,0.833396885539932
"HSPA1A",0.273792335339655,-1.08604534954188,0.12,0.222222222222222,0.833396885539932
"ICAM2",0.130643179665965,4.00954456183427,0.12,0,0.833396885539932
"ICOS",0.130643179665965,3.85410221515323,0.12,0,0.833396885539932
"IFI27",0.088227860140625,-1.55152912513146,0.04,0.166666666666667,0.833396885539932
"IFIH1",0.166227137565411,-1.65894861605081,0.06,0.166666666666667,0.833396885539932
"IFITM1",0.233090318799117,-0.954884846198301,0.14,0.277777777777778,0.833396885539932
"IFNA1",0.17164776487002,3.23766286336845,0.1,0,0.833396885539932
"IGF2",0.314637469570808,-0.0285354120863522,0.04,0.111111111111111,0.833396885539932
"IGFBP3",0.226257718900904,3.54413723139372,0.08,0,0.833396885539932
"IGHM",0.308403035089217,2.53016972933813,0.14,0.0555555555555556,0.833396885539932
"IL10",0.0773529545693491,-1.72800342267176,0.04,0.166666666666667,0.833396885539932
"IL11RA",0.314637469570808,0.279544752552202,0.04,0.111111111111111,0.833396885539932
"IL12B",0.28295225806795,-1.40476246544681,0.04,0.111111111111111,0.833396885539932
"IL13RA1",0.226257718900904,3.61276948999609,0.08,0,0.833396885539932
"IL15RA",0.130643179665965,3.61824486693391,0.12,0,0.833396885539932
"IL17B",0.226257718900904,3.38639863582698,0.08,0,0.833396885539932
"IL17D",0.130643179665965,3.83276145698503,0.12,0,0.833396885539932
"IL17RB",0.226257718900904,2.99142491302802,0.08,0,0.833396885539932
"IL18R1",0.226257718900904,3.41053018410269,0.08,0,0.833396885539932
"IL1R2",0.233274794528014,-0.430193056249275,0.1,0.222222222222222,0.833396885539932
"IL1RN",0.11185403143468,2.6155787162857,0.22,0.0555555555555556,0.833396885539932
"IL2",0.28295225806795,-2.7847628424353,0.04,0.111111111111111,0.833396885539932
"IL24",0.153532617328273,1.83040244378335,0.26,0.111111111111111,0.833396885539932
"IL2RA",0.224401536151949,-0.164001509801331,0.06,0.166666666666667,0.833396885539932
"IL2RB",0.157749057556192,-1.8520429372467,0.06,0.166666666666667,0.833396885539932
"IL32",0.201914603370022,-0.898537385104513,0.14,0.277777777777778,0.833396885539932
