triangle_index,vertex_ids,vertex_labels
0,"18,188,185","Malignant,Malignant,Macrophage"
1,"42,324,47","Malignant,Malignant,Macrophage"
2,"50,57,51","Malignant,Malignant,Macrophage"
3,"57,50,51","Malignant,Malignant,Macrophage"
4,"57,58,335","Malignant,Malignant,Macrophage"
5,"58,57,335","Malignant,Malignant,Macrophage"
6,"58,378,357","Malignant,Malignant,Macrophage"
7,"74,378,69","Malignant,Malignant,Macrophage"
8,"82,416,415","Malignant,Malignant,Macrophage"
9,"83,89,424","Malignant,Malignant,Macrophage"
10,"83,416,424","Malignant,Malignant,Macrophage"
11,"86,90,459","Malignant,Malignant,Macrophage"
12,"89,83,424","Malignant,Malignant,Macrophage"
13,"90,86,459","Malignant,Malignant,Macrophage"
14,"90,445,459","Malignant,Malignant,Macrophage"
15,"91,97,94","Malignant,Malignant,Macrophage"
16,"91,449,94","Malignant,Malignant,Macrophage"
17,"95,97,94","Malignant,Malignant,Macrophage"
18,"97,91,94","Malignant,Malignant,Macrophage"
19,"97,95,94","Malignant,Malignant,Macrophage"
20,"106,107,113","Malignant,Malignant,Macrophage"
21,"106,493,113","Malignant,Malignant,Macrophage"
22,"107,106,113","Malignant,Malignant,Macrophage"
23,"107,112,113","Malignant,Malignant,Macrophage"
24,"108,116,489","Malignant,Malignant,Macrophage"
25,"112,107,113","Malignant,Malignant,Macrophage"
26,"112,123,113","Malignant,Malignant,Macrophage"
27,"116,108,489","Malignant,Malignant,Macrophage"
28,"116,505,489","Malignant,Malignant,Macrophage"
29,"120,123,113","Malignant,Malignant,Macrophage"
30,"120,493,113","Malignant,Malignant,Macrophage"
31,"120,517,128","Malignant,Malignant,Macrophage"
32,"123,112,113","Malignant,Malignant,Macrophage"
33,"123,120,113","Malignant,Malignant,Macrophage"
34,"127,517,128","Malignant,Malignant,Macrophage"
35,"130,544,135","Malignant,Malignant,Macrophage"
36,"139,547,135","Malignant,Malignant,Macrophage"
37,"139,569,135","Malignant,Malignant,Macrophage"
38,"157,167,147","Malignant,Malignant,Macrophage"
39,"157,175,165","Malignant,Malignant,Macrophage"
40,"167,157,147","Malignant,Malignant,Macrophage"
41,"175,157,165","Malignant,Malignant,Macrophage"
42,"175,188,185","Malignant,Malignant,Macrophage"
43,"188,18,185","Malignant,Malignant,Macrophage"
44,"188,175,185","Malignant,Malignant,Macrophage"
45,"324,42,47","Malignant,Malignant,Macrophage"
46,"378,58,357","Malignant,Malignant,Macrophage"
47,"378,74,69","Malignant,Malignant,Macrophage"
48,"413,435,419","Malignant,Malignant,Macrophage"
49,"416,82,415","Malignant,Malignant,Macrophage"
50,"416,83,424","Malignant,Malignant,Macrophage"
51,"435,413,419","Malignant,Malignant,Macrophage"
52,"441,463,483","Malignant,Malignant,Macrophage"
53,"445,90,459","Malignant,Malignant,Macrophage"
54,"449,91,94","Malignant,Malignant,Macrophage"
55,"463,441,483","Malignant,Malignant,Macrophage"
56,"493,106,113","Malignant,Malignant,Macrophage"
57,"493,120,113","Malignant,Malignant,Macrophage"
58,"505,116,489","Malignant,Malignant,Macrophage"
59,"517,120,128","Malignant,Malignant,Macrophage"
60,"517,127,128","Malignant,Malignant,Macrophage"
61,"544,130,135","Malignant,Malignant,Macrophage"
62,"544,547,135","Malignant,Malignant,Macrophage"
63,"547,139,135","Malignant,Malignant,Macrophage"
64,"547,544,135","Malignant,Malignant,Macrophage"
65,"569,139,135","Malignant,Malignant,Macrophage"
