triangle_index,vertex_ids,vertex_labels
0,"31,35,251","Malignant,Malignant,Malignant"
1,"31,251,35","Malignant,Malignant,Malignant"
2,"35,31,251","Malignant,Malignant,Malignant"
3,"35,251,31","Malignant,Malignant,Malignant"
4,"35,279,280","Malignant,Malignant,Malignant"
5,"35,280,279","Malignant,Malignant,Malignant"
6,"42,45,297","Malignant,Malignant,Malignant"
7,"42,45,311","Malignant,Malignant,Malignant"
8,"42,290,297","Malignant,Malignant,Malignant"
9,"42,297,45","Malignant,Malignant,Malignant"
10,"42,297,290","Malignant,Malignant,Malignant"
11,"42,311,45","Malignant,Malignant,Malignant"
12,"42,311,324","Malignant,Malignant,Malignant"
13,"42,324,311","Malignant,Malignant,Malignant"
14,"45,42,297","Malignant,Malignant,Malignant"
15,"45,42,311","Malignant,Malignant,Malignant"
16,"45,297,42","Malignant,Malignant,Malignant"
17,"45,311,42","Malignant,Malignant,Malignant"
18,"57,58,347","Malignant,Malignant,Malignant"
19,"57,347,58","Malignant,Malignant,Malignant"
20,"58,57,347","Malignant,Malignant,Malignant"
21,"58,347,57","Malignant,Malignant,Malignant"
22,"58,347,378","Malignant,Malignant,Malignant"
23,"58,378,347","Malignant,Malignant,Malignant"
24,"82,88,423","Malignant,Malignant,Malignant"
25,"82,416,423","Malignant,Malignant,Malignant"
26,"82,423,88","Malignant,Malignant,Malignant"
27,"82,423,416","Malignant,Malignant,Malignant"
28,"83,88,89","Malignant,Malignant,Malignant"
29,"83,88,423","Malignant,Malignant,Malignant"
30,"83,89,88","Malignant,Malignant,Malignant"
31,"83,416,423","Malignant,Malignant,Malignant"
32,"83,423,88","Malignant,Malignant,Malignant"
33,"83,423,416","Malignant,Malignant,Malignant"
34,"88,82,423","Malignant,Malignant,Malignant"
35,"88,83,89","Malignant,Malignant,Malignant"
36,"88,83,423","Malignant,Malignant,Malignant"
37,"88,89,83","Malignant,Malignant,Malignant"
38,"88,89,444","Malignant,Malignant,Malignant"
39,"88,93,444","Malignant,Malignant,Malignant"
40,"88,423,82","Malignant,Malignant,Malignant"
41,"88,423,83","Malignant,Malignant,Malignant"
