node_1,node_2,node_3,cell_type_1,cell_type_2,cell_type_3,pattern
351,361,366,CAF,CAF,Endothelial,CAF - CAF - Endothelial
91,427,449,Malignant,Pericyte,Malignant,Malignant - Malignant - Pericyte
61,327,336,CAF,Plasma,Dendritic (activated),CAF - Dendritic (activated) - Plasma
69,357,378,Macrophage,Macrophage,Malignant,Macrophage - Macrophage - Malignant
77,385,401,Pericyte,Endothelial,CAF,CAF - Endothelial - Pericyte
509,529,540,Malignant,CAF,CAF,CAF - CAF - Malignant
59,363,365,Dendritic (activated),CAF,CAF,CAF - CAF - Dendritic (activated)
2,11,17,Macrophage,Macrophage,Plasma,Macrophage - Macrophage - Plasma
15,16,168,Macrophage,Malignant,Pericyte,Macrophage - Malignant - Pericyte
62,64,367,Plasma,Malignant,CAF,CAF - Malignant - Plasma
438,446,468,CAF,Macrophage,Natural killer,CAF - Macrophage - Natural killer
403,421,429,Macrophage,CAF,CAF,CAF - CAF - Macrophage
428,460,467,Macrophage,Pericyte,CAF,CAF - Macrophage - Pericyte
549,556,579,Endothelial,Pericyte,CAF,CAF - Endothelial - Pericyte
12,176,178,Plasma,Macrophage,CAF,CAF - Macrophage - Plasma
138,575,582,Malignant,Malignant,CAF,CAF - Malignant - Malignant
210,239,245,Endothelial,CAF,Plasma,CAF - Endothelial - Plasma
278,282,289,Pericyte,Plasma,Smooth muscle,Pericyte - Plasma - Smooth muscle
487,491,501,Endothelial,CAF,Plasma,CAF - Endothelial - Plasma
94,95,97,Macrophage,Malignant,Malignant,Macrophage - Malignant - Malignant
103,461,465,Malignant,Malignant,Malignant,Malignant - Malignant - Malignant
440,444,465,CAF,Malignant,Malignant,CAF - Malignant - Malignant
521,532,551,Pericyte,CAF,Mast,CAF - Mast - Pericyte
75,385,401,Plasma,Endothelial,CAF,CAF - Endothelial - Plasma
79,437,440,Macrophage,CAF,CAF,CAF - CAF - Macrophage
262,268,276,CAF,CAF,CAF,CAF - CAF - CAF
10,12,162,Mast,Plasma,Plasma,Mast - Plasma - Plasma
146,150,154,CAF,Schwann/nerve,CAF,CAF - CAF - Schwann/nerve
264,272,273,CAF,Macrophage,CAF,CAF - CAF - Macrophage
510,521,532,Endothelial,Pericyte,CAF,CAF - Endothelial - Pericyte
38,250,300,CAF,CAF,Malignant,CAF - CAF - Malignant
54,303,315,Macrophage,Endothelial,Macrophage,Endothelial - Macrophage - Macrophage
183,186,198,Mast,Mast,CAF,CAF - Mast - Mast
545,552,560,Macrophage,Plasma,Endothelial,Endothelial - Macrophage - Plasma
231,237,262,Mast,Mast,CAF,CAF - Mast - Mast
484,496,499,CAF,CAF,Endothelial,CAF - CAF - Endothelial
503,527,528,CAF,Malignant,CAF,CAF - CAF - Malignant
77,380,407,Pericyte,CAF,Plasma,CAF - Pericyte - Plasma
186,213,221,Mast,CAF,CAF,CAF - CAF - Mast
276,299,304,CAF,CAF,CAF,CAF - CAF - CAF
198,213,255,CAF,CAF,Malignant,CAF - CAF - Malignant
12,160,166,Plasma,Schwann/nerve,CAF,CAF - Plasma - Schwann/nerve
498,507,524,Macrophage,Endothelial,Malignant,Endothelial - Macrophage - Malignant
72,387,420,CAF,Smooth muscle,Smooth muscle,CAF - Smooth muscle - Smooth muscle
412,414,460,CAF,CAF,Pericyte,CAF - CAF - Pericyte
20,180,194,CAF,Schwann/nerve,Plasma,CAF - Plasma - Schwann/nerve
