triangle_index,vertex_ids,vertex_labels
0,"37,343,50","CAF,CAF,Malignant"
1,"38,250,300","CAF,CAF,Malignant"
2,"38,301,300","CAF,CAF,Malignant"
3,"70,346,338","CAF,CAF,Malignant"
4,"76,381,74","CAF,CAF,Malignant"
5,"96,436,463","CAF,CAF,Malignant"
6,"96,440,465","CAF,CAF,Malignant"
7,"141,145,0","CAF,CAF,Malignant"
8,"141,148,0","CAF,CAF,Malignant"
9,"143,145,1","CAF,CAF,Malignant"
10,"145,141,0","CAF,CAF,Malignant"
11,"145,143,1","CAF,CAF,Malignant"
12,"148,141,0","CAF,CAF,Malignant"
13,"151,153,1","CAF,CAF,Malignant"
14,"153,151,1","CAF,CAF,Malignant"
15,"174,184,171","CAF,CAF,Malignant"
16,"184,174,171","CAF,CAF,Malignant"
17,"184,189,18","CAF,CAF,Malignant"
18,"187,198,255","CAF,CAF,Malignant"
19,"187,247,255","CAF,CAF,Malignant"
20,"189,184,18","CAF,CAF,Malignant"
21,"189,211,207","CAF,CAF,Malignant"
22,"198,187,255","CAF,CAF,Malignant"
23,"198,213,255","CAF,CAF,Malignant"
24,"202,204,16","CAF,CAF,Malignant"
25,"204,202,16","CAF,CAF,Malignant"
26,"208,227,212","CAF,CAF,Malignant"
27,"211,189,207","CAF,CAF,Malignant"
28,"213,198,255","CAF,CAF,Malignant"
29,"213,230,255","CAF,CAF,Malignant"
30,"227,208,212","CAF,CAF,Malignant"
31,"230,213,255","CAF,CAF,Malignant"
32,"230,260,255","CAF,CAF,Malignant"
33,"235,249,30","CAF,CAF,Malignant"
34,"238,242,28","CAF,CAF,Malignant"
35,"242,238,28","CAF,CAF,Malignant"
36,"242,271,31","CAF,CAF,Malignant"
37,"247,187,255","CAF,CAF,Malignant"
38,"249,235,30","CAF,CAF,Malignant"
39,"250,38,300","CAF,CAF,Malignant"
40,"250,261,300","CAF,CAF,Malignant"
41,"260,230,255","CAF,CAF,Malignant"
42,"261,250,300","CAF,CAF,Malignant"
43,"261,317,300","CAF,CAF,Malignant"
44,"262,268,269","CAF,CAF,Malignant"
45,"268,262,269","CAF,CAF,Malignant"
46,"271,242,31","CAF,CAF,Malignant"
47,"271,291,280","CAF,CAF,Malignant"
48,"273,313,288","CAF,CAF,Malignant"
49,"291,271,280","CAF,CAF,Malignant"
50,"301,38,300","CAF,CAF,Malignant"
51,"301,353,300","CAF,CAF,Malignant"
52,"313,273,288","CAF,CAF,Malignant"
53,"317,261,300","CAF,CAF,Malignant"
54,"319,332,316","CAF,CAF,Malignant"
55,"332,319,316","CAF,CAF,Malignant"
56,"343,37,50","CAF,CAF,Malignant"
57,"346,70,338","CAF,CAF,Malignant"
58,"348,390,347","CAF,CAF,Malignant"
59,"353,301,300","CAF,CAF,Malignant"
60,"361,379,371","CAF,CAF,Malignant"
61,"367,380,64","CAF,CAF,Malignant"
62,"379,361,371","CAF,CAF,Malignant"
63,"380,367,64","CAF,CAF,Malignant"
64,"381,76,74","CAF,CAF,Malignant"
65,"390,348,347","CAF,CAF,Malignant"
66,"390,402,416","CAF,CAF,Malignant"
67,"402,390,416","CAF,CAF,Malignant"
68,"432,466,445","CAF,CAF,Malignant"
69,"433,436,441","CAF,CAF,Malignant"
70,"436,96,463","CAF,CAF,Malignant"
71,"436,433,441","CAF,CAF,Malignant"
72,"440,96,465","CAF,CAF,Malignant"
73,"466,432,445","CAF,CAF,Malignant"
74,"466,477,445","CAF,CAF,Malignant"
75,"467,471,108","CAF,CAF,Malignant"
76,"469,477,445","CAF,CAF,Malignant"
77,"471,467,108","CAF,CAF,Malignant"
78,"477,466,445","CAF,CAF,Malignant"
79,"477,469,445","CAF,CAF,Malignant"
80,"477,539,110","CAF,CAF,Malignant"
81,"477,539,505","CAF,CAF,Malignant"
82,"481,559,524","CAF,CAF,Malignant"
83,"486,562,500","CAF,CAF,Malignant"
84,"494,529,509","CAF,CAF,Malignant"
85,"497,502,508","CAF,CAF,Malignant"
86,"502,497,508","CAF,CAF,Malignant"
87,"502,520,508","CAF,CAF,Malignant"
88,"503,513,526","CAF,CAF,Malignant"
89,"503,528,527","CAF,CAF,Malignant"
90,"513,503,526","CAF,CAF,Malignant"
91,"513,522,526","CAF,CAF,Malignant"
92,"516,523,120","CAF,CAF,Malignant"
93,"520,502,508","CAF,CAF,Malignant"
94,"522,513,526","CAF,CAF,Malignant"
95,"523,516,120","CAF,CAF,Malignant"
96,"528,503,527","CAF,CAF,Malignant"
97,"529,494,509","CAF,CAF,Malignant"
98,"529,540,137","CAF,CAF,Malignant"
99,"529,540,509","CAF,CAF,Malignant"
100,"529,553,137","CAF,CAF,Malignant"
101,"539,477,110","CAF,CAF,Malignant"
102,"539,477,505","CAF,CAF,Malignant"
103,"540,529,137","CAF,CAF,Malignant"
104,"540,529,509","CAF,CAF,Malignant"
105,"548,574,565","CAF,CAF,Malignant"
106,"553,529,137","CAF,CAF,Malignant"
107,"553,576,137","CAF,CAF,Malignant"
108,"559,481,524","CAF,CAF,Malignant"
109,"561,573,127","CAF,CAF,Malignant"
110,"562,486,500","CAF,CAF,Malignant"
111,"563,582,138","CAF,CAF,Malignant"
112,"573,561,127","CAF,CAF,Malignant"
113,"573,574,565","CAF,CAF,Malignant"
114,"574,548,565","CAF,CAF,Malignant"
115,"574,573,565","CAF,CAF,Malignant"
116,"576,553,137","CAF,CAF,Malignant"
117,"582,563,138","CAF,CAF,Malignant"
