"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Macrophage","Macrophage","CCL7","CCR1",3.79982520804043e-06,0,"CCL7_CCR1","CCL7 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Macrophage","Macrophage","CCL15","CCR1",7.59962153884737e-06,0,"CCL15_CCR1","CCL15 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Macrophage","Macrophage","CXCL16","CXCR6",3.79969526443979e-05,0,"CXCL16_CXCR6","CXCL16 - CXCR6","CXCL","Secreted Signaling","KEGG: hsa04060"
"Macrophage","Macrophage","SPP1","CD44",0.000220342138154521,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"Macrophage","Macrophage","LGALS9","CD44",7.59962153884737e-06,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"CAF","Macrophage","FN1","CD44",0.000113674171010314,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"CAF","Macrophage","COL1A1","CD44",0.000777181615290944,0,"COL1A1_CD44","COL1A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Macrophage","COL1A2","CD44",0.000156641821148309,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Macrophage","COL4A2","CD44",5.12952038984355e-05,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAF","Macrophage","COL6A2","CD44",1.94096149686951e-05,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
