triangle_index,vertex_ids,vertex_labels
0,"4,141,172","CAF,CAF,CAF"
1,"4,172,141","CAF,CAF,CAF"
2,"4,172,221","CAF,CAF,CAF"
3,"4,221,172","CAF,CAF,CAF"
4,"32,240,243","CAF,CAF,CAF"
5,"32,240,250","CAF,CAF,CAF"
6,"32,243,240","CAF,CAF,CAF"
7,"32,243,248","CAF,CAF,CAF"
8,"32,248,243","CAF,CAF,CAF"
9,"32,250,240","CAF,CAF,CAF"
10,"38,250,274","CAF,CAF,CAF"
11,"38,274,250","CAF,CAF,CAF"
12,"38,274,283","CAF,CAF,CAF"
13,"38,283,274","CAF,CAF,CAF"
14,"38,283,301","CAF,CAF,CAF"
15,"38,301,283","CAF,CAF,CAF"
16,"63,81,317","CAF,CAF,CAF"
17,"63,317,81","CAF,CAF,CAF"
18,"68,377,386","CAF,CAF,CAF"
19,"68,386,377","CAF,CAF,CAF"
20,"68,386,394","CAF,CAF,CAF"
21,"68,394,386","CAF,CAF,CAF"
22,"70,72,372","CAF,CAF,CAF"
23,"70,346,372","CAF,CAF,CAF"
24,"70,372,72","CAF,CAF,CAF"
25,"70,372,346","CAF,CAF,CAF"
26,"72,70,372","CAF,CAF,CAF"
27,"72,372,70","CAF,CAF,CAF"
28,"72,372,399","CAF,CAF,CAF"
29,"72,399,372","CAF,CAF,CAF"
30,"76,78,399","CAF,CAF,CAF"
31,"76,362,372","CAF,CAF,CAF"
32,"76,362,381","CAF,CAF,CAF"
33,"76,372,362","CAF,CAF,CAF"
34,"76,372,399","CAF,CAF,CAF"
35,"76,381,362","CAF,CAF,CAF"
36,"76,399,78","CAF,CAF,CAF"
37,"76,399,372","CAF,CAF,CAF"
38,"78,76,399","CAF,CAF,CAF"
39,"78,399,76","CAF,CAF,CAF"
40,"81,63,317","CAF,CAF,CAF"
41,"81,317,63","CAF,CAF,CAF"
42,"81,418,455","CAF,CAF,CAF"
43,"81,454,455","CAF,CAF,CAF"
44,"81,455,418","CAF,CAF,CAF"
45,"81,455,454","CAF,CAF,CAF"
46,"96,436,437","CAF,CAF,CAF"
47,"96,437,436","CAF,CAF,CAF"
48,"96,437,440","CAF,CAF,CAF"
49,"96,440,437","CAF,CAF,CAF"
50,"115,470,480","CAF,CAF,CAF"
51,"115,470,496","CAF,CAF,CAF"
52,"115,480,470","CAF,CAF,CAF"
53,"115,480,491","CAF,CAF,CAF"
54,"115,491,480","CAF,CAF,CAF"
55,"115,496,470","CAF,CAF,CAF"
56,"115,496,503","CAF,CAF,CAF"
57,"115,503,496","CAF,CAF,CAF"
58,"115,503,513","CAF,CAF,CAF"
59,"115,513,503","CAF,CAF,CAF"
60,"141,4,172","CAF,CAF,CAF"
61,"141,142,145","CAF,CAF,CAF"
62,"141,145,142","CAF,CAF,CAF"
63,"141,148,172","CAF,CAF,CAF"
64,"141,172,4","CAF,CAF,CAF"
65,"141,172,148","CAF,CAF,CAF"
66,"142,141,145","CAF,CAF,CAF"
67,"142,143,145","CAF,CAF,CAF"
68,"142,143,146","CAF,CAF,CAF"
69,"142,145,141","CAF,CAF,CAF"
70,"142,145,143","CAF,CAF,CAF"
71,"142,146,143","CAF,CAF,CAF"
72,"143,142,145","CAF,CAF,CAF"
73,"143,142,146","CAF,CAF,CAF"
74,"143,145,142","CAF,CAF,CAF"
75,"143,146,142","CAF,CAF,CAF"
76,"145,141,142","CAF,CAF,CAF"
77,"145,142,141","CAF,CAF,CAF"
78,"145,142,143","CAF,CAF,CAF"
79,"145,143,142","CAF,CAF,CAF"
80,"146,142,143","CAF,CAF,CAF"
81,"146,143,142","CAF,CAF,CAF"
82,"148,141,172","CAF,CAF,CAF"
83,"148,172,141","CAF,CAF,CAF"
84,"172,4,141","CAF,CAF,CAF"
85,"172,4,221","CAF,CAF,CAF"
86,"172,141,4","CAF,CAF,CAF"
87,"172,141,148","CAF,CAF,CAF"
88,"172,148,141","CAF,CAF,CAF"
89,"172,221,4","CAF,CAF,CAF"
90,"174,184,189","CAF,CAF,CAF"
91,"174,189,184","CAF,CAF,CAF"
92,"184,174,189","CAF,CAF,CAF"
93,"184,189,174","CAF,CAF,CAF"
94,"189,174,184","CAF,CAF,CAF"
95,"189,184,174","CAF,CAF,CAF"
96,"197,203,204","CAF,CAF,CAF"
97,"197,203,205","CAF,CAF,CAF"
98,"197,204,203","CAF,CAF,CAF"
99,"197,205,203","CAF,CAF,CAF"
100,"197,205,209","CAF,CAF,CAF"
101,"197,209,205","CAF,CAF,CAF"
102,"202,204,225","CAF,CAF,CAF"
103,"202,225,204","CAF,CAF,CAF"
104,"203,197,204","CAF,CAF,CAF"
105,"203,197,205","CAF,CAF,CAF"
106,"203,204,197","CAF,CAF,CAF"
107,"203,204,224","CAF,CAF,CAF"
108,"203,205,197","CAF,CAF,CAF"
109,"203,205,222","CAF,CAF,CAF"
110,"203,222,205","CAF,CAF,CAF"
111,"203,222,224","CAF,CAF,CAF"
112,"203,224,204","CAF,CAF,CAF"
113,"203,224,222","CAF,CAF,CAF"
114,"204,197,203","CAF,CAF,CAF"
115,"204,202,225","CAF,CAF,CAF"
116,"204,203,197","CAF,CAF,CAF"
117,"204,203,224","CAF,CAF,CAF"
118,"204,224,203","CAF,CAF,CAF"
119,"204,224,225","CAF,CAF,CAF"
120,"204,225,202","CAF,CAF,CAF"
121,"204,225,224","CAF,CAF,CAF"
122,"205,197,203","CAF,CAF,CAF"
123,"205,197,209","CAF,CAF,CAF"
124,"205,203,197","CAF,CAF,CAF"
125,"205,203,222","CAF,CAF,CAF"
126,"205,209,197","CAF,CAF,CAF"
127,"205,209,222","CAF,CAF,CAF"
128,"205,222,203","CAF,CAF,CAF"
129,"205,222,209","CAF,CAF,CAF"
130,"209,197,205","CAF,CAF,CAF"
131,"209,205,197","CAF,CAF,CAF"
132,"209,205,222","CAF,CAF,CAF"
133,"209,222,205","CAF,CAF,CAF"
134,"213,221,230","CAF,CAF,CAF"
135,"213,230,221","CAF,CAF,CAF"
136,"216,239,250","CAF,CAF,CAF"
137,"216,240,250","CAF,CAF,CAF"
138,"216,250,239","CAF,CAF,CAF"
139,"216,250,240","CAF,CAF,CAF"
140,"221,4,172","CAF,CAF,CAF"
141,"221,172,4","CAF,CAF,CAF"
142,"221,213,230","CAF,CAF,CAF"
143,"221,230,213","CAF,CAF,CAF"
144,"222,203,205","CAF,CAF,CAF"
145,"222,203,224","CAF,CAF,CAF"
146,"222,205,203","CAF,CAF,CAF"
147,"222,205,209","CAF,CAF,CAF"
148,"222,209,205","CAF,CAF,CAF"
149,"222,224,203","CAF,CAF,CAF"
150,"224,203,204","CAF,CAF,CAF"
151,"224,203,222","CAF,CAF,CAF"
152,"224,204,203","CAF,CAF,CAF"
153,"224,204,225","CAF,CAF,CAF"
154,"224,222,203","CAF,CAF,CAF"
155,"224,225,204","CAF,CAF,CAF"
156,"225,202,204","CAF,CAF,CAF"
157,"225,204,202","CAF,CAF,CAF"
158,"225,204,224","CAF,CAF,CAF"
