triangle_index,vertex_ids,vertex_labels
0,"59,65,82","CAF,CAF,Malignant"
1,"65,59,82","CAF,CAF,Malignant"
2,"65,935,82","CAF,CAF,Malignant"
3,"70,939,60","CAF,CAF,Malignant"
4,"99,994,101","CAF,CAF,Malignant"
5,"141,142,112","CAF,CAF,Malignant"
6,"142,141,112","CAF,CAF,Malignant"
7,"142,156,143","CAF,CAF,Malignant"
8,"156,142,143","CAF,CAF,Malignant"
9,"156,197,188","CAF,CAF,Malignant"
10,"197,156,188","CAF,CAF,Malignant"
11,"197,1047,213","CAF,CAF,Malignant"
12,"204,1047,228","CAF,CAF,Malignant"
13,"204,1054,228","CAF,CAF,Malignant"
14,"231,1077,267","CAF,CAF,Malignant"
15,"239,305,271","CAF,CAF,Malignant"
16,"276,332,295","CAF,CAF,Malignant"
17,"305,239,271","CAF,CAF,Malignant"
18,"328,339,313","CAF,CAF,Malignant"
19,"332,276,295","CAF,CAF,Malignant"
20,"339,328,313","CAF,CAF,Malignant"
21,"339,1125,313","CAF,CAF,Malignant"
22,"388,1153,369","CAF,CAF,Malignant"
23,"405,1163,429","CAF,CAF,Malignant"
24,"420,1165,386","CAF,CAF,Malignant"
25,"449,1176,488","CAF,CAF,Malignant"
26,"449,1228,488","CAF,CAF,Malignant"
27,"462,1220,1214","CAF,CAF,Malignant"
28,"513,1251,479","CAF,CAF,Malignant"
29,"519,1258,1242","CAF,CAF,Malignant"
30,"534,1267,565","CAF,CAF,Malignant"
31,"558,1260,1244","CAF,CAF,Malignant"
32,"601,607,593","CAF,CAF,Malignant"
33,"601,1300,577","CAF,CAF,Malignant"
34,"607,601,593","CAF,CAF,Malignant"
35,"607,1328,587","CAF,CAF,Malignant"
36,"638,1326,587","CAF,CAF,Malignant"
37,"638,1328,587","CAF,CAF,Malignant"
38,"638,1329,653","CAF,CAF,Malignant"
39,"638,1354,653","CAF,CAF,Malignant"
40,"644,1333,594","CAF,CAF,Malignant"
41,"648,651,659","CAF,CAF,Malignant"
42,"649,1336,619","CAF,CAF,Malignant"
43,"649,1340,619","CAF,CAF,Malignant"
44,"651,648,659","CAF,CAF,Malignant"
45,"708,1376,691","CAF,CAF,Malignant"
46,"708,1388,691","CAF,CAF,Malignant"
47,"722,1383,692","CAF,CAF,Malignant"
48,"749,1426,753","CAF,CAF,Malignant"
49,"749,1440,750","CAF,CAF,Malignant"
50,"756,1458,772","CAF,CAF,Malignant"
51,"756,1472,772","CAF,CAF,Malignant"
52,"835,1522,821","CAF,CAF,Malignant"
53,"859,1562,847","CAF,CAF,Malignant"
54,"859,1562,861","CAF,CAF,Malignant"
55,"884,892,9","CAF,CAF,Malignant"
56,"892,884,9","CAF,CAF,Malignant"
57,"892,917,22","CAF,CAF,Malignant"
58,"909,917,22","CAF,CAF,Malignant"
59,"910,923,49","CAF,CAF,Malignant"
60,"910,923,920","CAF,CAF,Malignant"
61,"917,892,22","CAF,CAF,Malignant"
62,"917,909,22","CAF,CAF,Malignant"
63,"923,910,49","CAF,CAF,Malignant"
64,"923,910,920","CAF,CAF,Malignant"
65,"935,65,82","CAF,CAF,Malignant"
66,"939,70,60","CAF,CAF,Malignant"
67,"945,976,95","CAF,CAF,Malignant"
68,"976,945,95","CAF,CAF,Malignant"
69,"976,995,113","CAF,CAF,Malignant"
70,"978,992,988","CAF,CAF,Malignant"
71,"991,1016,1039","CAF,CAF,Malignant"
72,"992,978,988","CAF,CAF,Malignant"
73,"994,99,101","CAF,CAF,Malignant"
74,"995,976,113","CAF,CAF,Malignant"
75,"995,1019,145","CAF,CAF,Malignant"
76,"1016,991,1039","CAF,CAF,Malignant"
77,"1016,1052,1039","CAF,CAF,Malignant"
78,"1019,995,145","CAF,CAF,Malignant"
79,"1047,197,213","CAF,CAF,Malignant"
80,"1047,204,228","CAF,CAF,Malignant"
81,"1052,1016,1039","CAF,CAF,Malignant"
82,"1052,1056,1039","CAF,CAF,Malignant"
83,"1054,204,228","CAF,CAF,Malignant"
84,"1056,1052,1039","CAF,CAF,Malignant"
85,"1077,231,267","CAF,CAF,Malignant"
86,"1077,1090,1091","CAF,CAF,Malignant"
87,"1090,1077,1091","CAF,CAF,Malignant"
88,"1090,1111,1091","CAF,CAF,Malignant"
89,"1111,1090,1091","CAF,CAF,Malignant"
90,"1111,1126,299","CAF,CAF,Malignant"
91,"1125,339,313","CAF,CAF,Malignant"
92,"1126,1111,299","CAF,CAF,Malignant"
93,"1153,388,369","CAF,CAF,Malignant"
94,"1163,405,429","CAF,CAF,Malignant"
95,"1165,420,386","CAF,CAF,Malignant"
96,"1166,1200,444","CAF,CAF,Malignant"
97,"1176,449,488","CAF,CAF,Malignant"
98,"1176,1217,488","CAF,CAF,Malignant"
99,"1177,1179,432","CAF,CAF,Malignant"
100,"1179,1177,432","CAF,CAF,Malignant"
101,"1200,1166,444","CAF,CAF,Malignant"
102,"1217,1176,488","CAF,CAF,Malignant"
103,"1217,1233,563","CAF,CAF,Malignant"
104,"1220,462,1214","CAF,CAF,Malignant"
105,"1228,449,488","CAF,CAF,Malignant"
106,"1232,1251,474","CAF,CAF,Malignant"
107,"1233,1217,563","CAF,CAF,Malignant"
108,"1251,513,479","CAF,CAF,Malignant"
109,"1251,1232,474","CAF,CAF,Malignant"
110,"1258,519,1242","CAF,CAF,Malignant"
111,"1260,558,1244","CAF,CAF,Malignant"
112,"1267,534,565","CAF,CAF,Malignant"
113,"1267,1278,565","CAF,CAF,Malignant"
114,"1270,1288,544","CAF,CAF,Malignant"
115,"1274,1303,574","CAF,CAF,Malignant"
116,"1278,1267,565","CAF,CAF,Malignant"
117,"1278,1303,606","CAF,CAF,Malignant"
118,"1288,1270,544","CAF,CAF,Malignant"
119,"1288,1300,577","CAF,CAF,Malignant"
120,"1298,1340,619","CAF,CAF,Malignant"
121,"1300,601,577","CAF,CAF,Malignant"
122,"1300,1288,577","CAF,CAF,Malignant"
123,"1302,1304,594","CAF,CAF,Malignant"
124,"1303,1274,574","CAF,CAF,Malignant"
125,"1303,1278,606","CAF,CAF,Malignant"
126,"1303,1326,574","CAF,CAF,Malignant"
127,"1303,1326,611","CAF,CAF,Malignant"
128,"1304,1302,594","CAF,CAF,Malignant"
129,"1304,1333,594","CAF,CAF,Malignant"
130,"1317,1352,640","CAF,CAF,Malignant"
131,"1318,1336,619","CAF,CAF,Malignant"
132,"1319,1351,1361","CAF,CAF,Malignant"
133,"1326,638,587","CAF,CAF,Malignant"
134,"1326,1303,574","CAF,CAF,Malignant"
135,"1326,1303,611","CAF,CAF,Malignant"
136,"1326,1329,611","CAF,CAF,Malignant"
137,"1328,607,587","CAF,CAF,Malignant"
