id,X,Y,label
0,1020,3588,Malignant
1,2295,3553,Malignant
2,4282,3564,Macrophage
3,2667,3545,Macrophage
4,126,3509,CAF
5,2692,3483,Pericyte
6,3647,3471,CAF
7,2622,3475,Pericyte
8,2045,3466,Mast
9,1096,3423,Macrophage
10,2479,3437,Mast
11,4618,3397,Macrophage
12,2454,3374,Plasma
13,1487,3355,Plasma
14,2292,3315,Plasma
15,2084,3305,Macrophage
16,2136,3237,Malignant
17,4564,3211,Plasma
18,3328,3171,Malignant
19,2790,3115,Plasma
20,2626,3128,CAF
21,2558,3040,Plasma
22,2744,3014,Plasma
23,2894,2988,Macrophage
24,3078,2971,Macrophage
25,2821,2942,CAF
26,4988,2941,Dendritic (activated)
27,5074,2885,Macrophage
28,3010,2855,Malignant
29,3491,2866,Macrophage
30,2253,2834,Malignant
31,2990,2766,Malignant
32,3770,2681,CAF
33,2801,2574,Plasma
34,2830,2526,Dendritic (conventional)
35,2943,2499,Malignant
36,1116,2433,Malignant
37,322,2335,CAF
38,3776,2338,CAF
39,2698,2268,Plasma
40,2656,2262,Plasma
41,106,2238,Natural killer
42,2930,2203,Malignant
43,2579,2207,Macrophage
44,2660,2212,Macrophage
45,2999,2205,Malignant
46,936,2113,Plasma
47,2826,2107,Macrophage
48,2793,2093,Macrophage
49,2621,2051,CAF
50,657,2010,Malignant
51,721,2023,Macrophage
52,2753,2014,Plasma
53,106,1994,Mast
54,1000,1972,Macrophage
55,2689,1969,Plasma
56,2730,1950,Plasma
57,709,1937,Malignant
58,800,1915,Malignant
59,2418,1875,Dendritic (activated)
60,398,1871,Macrophage
61,2566,1804,CAF
62,2891,1792,Plasma
63,4909,1767,CAF
64,2920,1730,Malignant
65,2556,1717,Plasma
66,3760,1706,Macrophage
67,2609,1685,Treg
68,2084,1664,CAF
69,967,1640,Macrophage
70,1453,1640,CAF
71,2944,1632,Plasma
72,1337,1622,CAF
73,146,1621,CAF
74,896,1584,Malignant
75,2551,1569,Plasma
76,1043,1535,CAF
77,2620,1474,Pericyte
78,1047,1477,CAF
79,338,1468,Macrophage
80,2475,1433,Plasma
81,4280,1367,CAF
82,766,1318,Malignant
83,652,1292,Malignant
84,858,1245,Smooth muscle
85,1632,1244,Natural killer
86,1457,1193,Malignant
87,2922,1218,Plasma
88,755,1202,Malignant
89,604,1203,Malignant
90,1403,1158,Malignant
91,2292,1175,Malignant
92,632,1131,Malignant
93,698,1121,Malignant
94,2400,1121,Macrophage
95,2391,1054,Malignant
96,259,1049,CAF
97,2345,1036,Malignant
98,746,995,Malignant
99,2197,985,Malignant
100,858,958,Malignant
101,2338,963,Malignant
102,2278,959,Malignant
103,625,936,Malignant
104,800,921,Malignant
105,699,853,Malignant
106,747,798,Malignant
107,838,804,Malignant
108,1641,776,Malignant
109,2199,717,Plasma
110,942,745,Malignant
111,2317,763,Endothelial
112,858,726,Malignant
113,814,715,Macrophage
114,2382,725,Plasma
115,3001,722,CAF
116,1558,701,Malignant
117,2485,701,Plasma
118,1638,689,Malignant
119,2351,695,Plasma
120,769,669,Malignant
121,2568,672,Plasma
122,2455,650,Plasma
123,814,617,Malignant
124,2276,638,Macrophage
125,2409,604,Plasma
126,2361,590,Plasma
127,789,473,Malignant
128,735,461,Macrophage
129,2796,375,Malignant
130,3095,361,Malignant
131,2258,349,Mast
132,2713,305,Malignant
133,2584,293,Malignant
134,2636,258,Malignant
135,2932,253,Macrophage
136,2764,242,Malignant
137,1832,175,Malignant
138,2521,208,Malignant
139,2823,166,Malignant
140,2726,124,Malignant
141,179,3593,CAF
142,2537,3617,CAF
143,2416,3595,CAF
144,2639,3591,Plasma
145,1842,3599,CAF
146,2549,3580,CAF
147,3056,3566,Macrophage
148,776,3540,CAF
149,2420,3537,Mast
150,2455,3514,Schwann/nerve
151,2228,3490,CAF
152,2865,3485,Macrophage
153,2131,3466,CAF
154,2544,3453,CAF
155,4794,3463,Macrophage
156,2665,3448,Malignant
157,3394,3442,Malignant
158,2090,3448,CAF
159,2617,3438,Smooth muscle
160,2514,3423,Schwann/nerve
161,2964,3422,Pericyte
162,2439,3424,Plasma
163,4800,3408,Malignant
164,2646,3401,Pericyte
165,3549,3398,Macrophage
166,2576,3393,CAF
167,3350,3393,Malignant
168,2245,3367,Pericyte
169,2096,3375,Plasma
170,2628,3351,Schwann/nerve
171,3341,3365,Malignant
172,355,3331,CAF
173,2798,3325,CAF
174,3057,3324,CAF
175,3367,3328,Malignant
176,2443,3318,Macrophage
177,2675,3320,Schwann/nerve
178,2391,3296,CAF
179,1714,3281,CAF
180,2681,3267,Schwann/nerve
181,2462,3272,CAF
182,1505,3266,CAF
183,537,3254,Mast
184,3292,3250,CAF
185,3391,3244,Macrophage
186,512,3218,Mast
187,913,3228,CAF
188,3325,3234,Malignant
189,3214,3203,CAF
190,2705,3191,Plasma
191,2494,3165,Plasma
192,2773,3174,Plasma
193,2738,3151,Schwann/nerve
194,2564,3149,Plasma
195,2697,3154,Plasma
196,1547,3142,Endothelial
197,1835,3158,CAF
198,698,3115,CAF
199,3986,3125,Mast
200,3012,3119,Macrophage
201,3871,3104,CAF
202,2207,3090,CAF
203,1931,3084,CAF
204,2014,3091,CAF
205,1830,3082,CAF
206,2650,3062,CAF
207,3306,3059,Malignant
208,3335,3036,CAF
209,1784,3024,CAF
210,4729,3017,Endothelial
211,3116,2995,CAF
212,3283,2990,Malignant
213,525,2953,CAF
214,3595,2971,Plasma
215,2787,2950,CAF
216,3848,2954,CAF
217,2447,2941,Plasma
218,3572,2943,Macrophage
219,3252,2945,Malignant
220,1826,2917,Smooth muscle
221,369,2906,CAF
